name,latitude,longitude,address,postalCode
Donner House,40.44184282055115,-79.94029779729229,Margaret Morrison Street; 5115,
Brioche Dore,40.4439634,-79.9569222,,
Killarney,40.37381149410405,-80.0080502813521,,
Panera Bread,40.4359555,-79.9580355,,
East Ohio St at Cedar Ave,40.4533224,-80.0015006,,
Kennywood Park,40.38802955769422,-79.86362930648622,,
Schenley Place,40.44695741630151,-79.95294687242168,Bayard Street; 4420,15213
Essex House,40.45809863199326,-79.93350891735939,Centre Ave; 5701,15206
The Pittsburgh Fan,40.4485382,-80.0039658,,
iello's Pizza,40.4332708,-79.9229647,,
Chubby's Pizza,40.4809893,-80.0409956,,
McGill House,40.44172266251948,-79.93890734219667,,
Saint Michaels Church,40.41167274605939,-79.8787555366953,,
Ingram,40.4440152,-80.0660285,,
Brentwood Library,40.3749799,-79.9750352,,
Excuses Bar and Grill,40.427277,-79.96901349999999,East Carson Street,15203
1914 Murray Apartments,40.43553309347356,-79.9231966051536,Murray Avenue; 1914,
Oakland Post Office,40.4401016,-79.9526188,,
University Center,40.44329655654717,-79.942025212704,Forbes Avenue; 5034,
Elixir Hair Artistry & Design,40.3840234,-80.0440654,Washington Road; 520,15228
First National Trust Company,40.446952,-80.0034747,,
Shady Oak Apartments,40.4490323,-79.94631035,,
Wood Street,40.4419119,-79.9996136,,
Woodlawn Apartments,40.44194043199985,-79.93809379819479,,
Bouquet Gardens Building F,40.44091416537918,-79.95536826801444,,
Southside Works City Apartments,40.42901038876297,-79.96693561873602,Sidney Street; 2746,15203
Berry Hall; Chatham University,40.44702678280562,-79.92279126858104,,
Mazza's Shoes,40.3949575,-80.0219986,Brookline Boulevard; 618,15226
Sloppy Joe's,40.4301802,-80.0072567,,
Dick's Sporting Goods,40.41016486317896,-79.91091320054393,,
derson Dining Hall,40.44690561246715,-79.92390553888602,,
Pittsburgh Union Station,40.44593353873129,-79.99010488580633,,
Commonwealth Building,40.43894140622635,-80.00088509843319,Fourth Avenue; 316,15222
Rite Aid,40.38168148983715,-79.99522933419638,,
Starbucks,40.4560792,-79.9389926,iberty Ave; 5310,15224
Foster Plaza,40.42203894737755,-80.05992321932801,,
llegheny Traditional Academy,40.4533797113606,-80.0079111041913,,
Neville Apartments,40.44750330681907,-79.94719859809884,,
King's Family Restaurant,40.3869396,-80.0919774,Washington Pike; 2100,
Bluebird Kitchen,40.4400298,-80.0049091,,
Heinz Hall,40.4419692,-80.0020198,,
Foli's,40.429016628473725,-79.87503566341763,Brinton Road; 1050,15221
Pennant,40.4114634,-80.0146816,,
Mt. Lebanon Shoe Repair,40.3804717,-80.0443393,Washington Road; 701,15228
Forbes Tower,40.440438419101206,-79.9569841468334,,
Redbeard's on Sixth,40.4430967,-80.0023748,,
Schenley Plaza,40.44306154559565,-79.95307205010778,,
North Side,40.44772625489911,-80.00980389689651,,
Department of Human Services Office,40.4369189,-80.0009491,,
ynn's Cafe,40.4729966,-80.0746398,,
Wilkins School Community Center,40.430178610835206,-79.8930198490556,,
Panther Hollow field,40.43102436775517,-79.95012378109264,,
lumni House,40.44507279147974,-79.94198015127526,,
Oakwood Apartments,40.440585902400805,-79.95599230821843,,
Family House,40.4557592734884,-79.94004443858083,Centre Ave; 5245,15232
Brighton Cafe,40.4844824,-80.0359387,Brighton Road; 3801,
Pittsburgh Police - Zone 5,40.47394005794532,-79.90898672174102,Washington Boulevard; 1401,15206
Stever House,40.44597688506187,-79.94303936020287,,
Carnegie Science Center,40.44607989028254,-80.01794858539235,llegheny Avenue; 1,15212
The Coffee Tree Roasters,40.4509911,-79.9328242,Walnut Street; 5524,15232
H&R Block,40.3997131,-80.0429273,,
llegheny,40.44804,-80.0177181,,
Station Square,40.4309613,-80.0029696,,
Dormont Junction,40.3915943,-80.0410345,,
Bramer House,40.44606918568344,-79.9409175502089,,
Mt. Lebanon,40.3819668,-80.0433512,,
Sharpsburg Community Library,40.4944468397153,-79.93020846127386,,
Saint James School,40.440556,-79.8849556,,
UPMC Saint Margaret,40.49034563148248,-79.89609546630183,Freeport Road; 815,15215
wrenceville Shopping Center,40.48346221872246,-79.94792049539956,,
Station Square,40.43336837020799,-80.00510447563023,,
Family Dollar,40.46089493574984,-79.8660466560122,,
Community House,40.45699734051408,-80.00497706231344,,
Primanti Bros. Restaurant,40.44025905,-80.0030244,Market Street; 2,15222
Micro Diner,40.430027,-80.0069286,,
Subway,40.4300954,-80.0069393,,
Heritage Place,40.432054779775,-79.9249267215454,Phillips Avenue; 5701,15217
Century Building,40.4436235,-80.00105435,130,15222
Bouquet Gardens Building H,40.4407653436741,-79.95494685439748,,
Scaife Hall,40.44305170992952,-79.96098276145635,,
Beatty House,40.4490971771365,-79.92296813640235,,
Sharp Edge Creekhouse,40.4402774,-80.0810385,West Steuben Street; 288,
The Modern Cafe,40.4521212,-80.0159043,,
Scoops on the Boulevard,40.3939872,-80.0208886,Brookline Boulevard; 719,15226
Fort Pitt Elementary School,40.4690084,-79.9418392,,
E Carson St at Smithfield St Bridge,40.4318468,-80.0029435,,
Foster Plaza 5,40.42215126100098,-80.0610790200105,Holiday Drive; 651,15220
Thackeray Hall,40.44395977876462,-79.95698922543242,,
Tepper School of Buisness,40.440957309703,-79.94196615226012,,
Dormont Park,40.39492328465969,-80.04391185480593,,
Olde Kennywood RR,40.38791573057859,-79.86407283966972,,
Cardamone's Hair & Nail Salon,40.4399443,-80.0010579,,
School of Law Building,40.4370667,-79.9919222,,
US Post Office,40.41705335111946,-79.9869570899702,Brownsville Road; 140,15210
Resolution Rentals,40.4909627,-80.0474623,,
Braddock Carnegie Library,40.4009336,-79.8656608,,
os Family Dentistry,40.3887418,-80.0501093,Beverly Road; 310,15216
Hampton Inn Pittsburgh University/Medical Center,40.43607029255574,-79.96299435892718,,
ittle Giant Federal Credit Union,40.46546865731836,-80.06021762356193,Chartiers Avenue; 600,15136
Remnant City,40.37800225000001,-79.9875699,,
Bellefield Hall Swimming Pool,40.4454802,-79.9510024,,
Rite Aid,40.4865193,-79.9267732,,
Schenley Park,40.434076198312894,-79.94187437449467,,
Greyhound Pittsburgh,40.4450487,-79.9933324,,
llegheny Smokeworks,40.49194814448467,-79.86396554269558,,
llegheny Podiatry,40.3789681,-80.0449897,Washington Road; 733,15228
Braddock Cemetery,40.4070134,-79.8539931,,
Whited,40.3949982,-79.9996582,,
Swanson School of Engineering,40.4438649,-79.9586103,3700 O'hara,15213
Bombay Food Market,40.45214401524424,-79.95209720293848,Centre Avenue; 4605,15213
Pittsburgh Guitars,40.42907429432551,-79.98502602500437,East Carson Street; 1305,15203
The Allegheny Inn,40.45593424485616,-80.00199494998364,,
coustic Music Works,40.431956,-79.922971,Murray Ave.; 2142,15217
Double Wide Grill,40.4279538135984,-79.97091062590833,East Carson Street; 2339,15203
Pace School,40.4379872,-79.8559591,,
Stack'd Oakland,40.4409292,-79.9569923,Forbes Avenue; 3716,15213
Foster Plaza 10,40.4210426,-80.06034944999999,ndersen Drive; 680,15220
Frick Fine Arts Building,40.44167665850442,-79.95104754433669,,
Saint Simon and Jude,40.401009966118544,-80.06253810731366,,
Quest Diagnostics,40.3640772,-79.983446,,
Trees Field,40.4480278,-79.9639128,,
Pittsburgh Marriott City Center,40.43973905,-79.99220005000001,Washington Pl; 112,15219
Chabad of the South Hills,40.3970151,-80.0463754,McFarland Road; 1701,15216
llen Hall,40.44458683701605,-79.95836492022818,,
Shadyside Inn,40.45208262555437,-79.93041085917909,S Negley Ave; 811,15232
Mt. Lebanon Public Library,40.3770122,-80.045321,Castle Shannon Boulevard; 16,15228
Thornburg Borough Hall,40.4359571102698,-80.07896747965276,,
Max's Allegheny Tavern,40.4549279,-79.9997709,Suismon Street; 537,
ife Pittsburgh,40.4483952,-80.0189005,,
Crunch Fitness,40.40993675862919,-79.91096967513104,,
ZOLL LifeVest,40.49698794418136,-79.86864976839941,,
Wilkinsburg High School,40.44411086875056,-79.88205981587892,Wallace Avenue; 747,
Braddock's American Brasserie,40.4440907,-80.0019122,,
Mellon Square,40.44104172821272,-79.99697746638277,,
Central Catholic High School,40.44638348104676,-79.94600877009185,,
One PNC Plaza,40.44097843991993,-80.00043145335181,Fifth Avenue; 249,
Warrington Recreation Center,40.42098432814775,-80.00091820233197,East Warrington Avenue; 329,
Falk Hall,40.44900299710251,-79.92581326530251,,
llegheny Station,40.44807381326776,-80.01788314934359,,
Duquesne University,40.4359803,-79.9930307,,
Bellevue Police Department,40.4970682,-80.0562712,,
CVS Pharmacy,40.4518223,-79.952033,,
Saint Peters Cemetery,40.41701839407008,-79.98113642552894,,
Suburban Dry Cleaners,40.389079,-80.0489157,Beverly Road; 293,
Emmanuel Baptist Church,40.41199733749797,-79.88093918586999,,
Pittsburgh City Courthouse,40.4360941,-79.9960037,,
Key Bank,40.46481183188022,-80.0597474654763,Chartiers Avenue; 527,15136
Duquesne University,40.43790542958841,-79.99197884812295,,
Bethany Baptist Church,40.4509042,-79.8893283,,
DePaul School for Hearing and Speech Library,40.45733382770408,-79.92377176845694,Emerson Street; 270,15206
Green Tree Park,40.42195611785512,-80.0419242290624,,
Pittsburgh Union Station,40.44498468413573,-79.99097223057211,iberty Avenue; 1100,15222
McNeilly,40.3769535,-80.0048755,,
Westwood Park,40.4310144732979,-80.05022498140582,,
Smallman Street Deli,40.4360094,-79.9230279,Murray Avenue; 1912,
ce Hotel Pittsburgh,40.4613129,-79.9259652,,
Scott Towne Center,40.390718537854106,-80.07107340561,Greentree Road; 2101,15220
Fuel & Fuddle,40.4409836,-79.9570682,,
Pool Grove,40.48300108951453,-79.91040278997241,,
Uptown Coffee,40.3789899,-80.0450943,Washington Road; 723,15228
llegheny Court Bulding,40.45209587965891,-80.01599045021115,,
indsay House,40.44795269999999,-79.92483649999998,,
7-Eleven,40.4430912,-80.0020656,,
Pristine Auto Sales,40.3969992,-79.9989888,,
Parran Hall,40.443027003364605,-79.95790384543805,,
llegheny Health Network,40.4479947,-80.0029844,,
Rockwood Park,40.363440781523366,-80.03501331904387,Rockwood Avenue; 808,15234
Overbrook Elementary School (closed),40.3903472,-79.9969748,,
Pittsburgh Union Station,40.4451428,-79.9909554,,
Five Star Dentistry,40.4284203637316,-79.97904223820524,East Carson Street; 1910,15203
Mitchell's Restaurant,40.437095,-79.9959509,,
Peoples Natural Gas,40.445972,-80.0080579,,
Kitman's Fine Furniture,40.4812533,-79.9744212,,
Squirrel Hill Jewelry,40.4349307,-79.9230087,Murray Avenue; 1925,
Pitt School of Dental Medicine,40.4425142,-79.9630908,,
Chatham University,40.44877159175573,-79.92490220291111,,
Pizza Perfecta,40.4572482,-79.9253288,,
Orient Express,40.44507945438347,-79.94818743281095,Forbes Ave; 4609,15213
St Rosalia Academy,40.42499203052825,-79.94381579862105,Greenfield Avenue; 411,15207
Foster Plaza 2,40.42181320065799,-80.05753512307433,Holiday Drive; 425,15220
ovely Hands,40.3956959,-80.0229302,Brookline Boulevard; 522,15226
Orbis Caffe,40.3811143,-80.0439394,Washington Road; 675,15228
Silver Palace,40.37691999457169,-80.00404491335496,,
Dormont Junction,40.391560543545154,-80.04107123732257,,
Murray Ave. Grill,40.4373405,-79.9229919,,
Trees Pool,40.4439259,-79.9660875,,
E Works,40.44908956727888,-80.00266750318566,,
Eat 'N Park,40.41731311519319,-80.03017952431334,Banksville Road; 1250,15216
Homewood Cemetery,40.44196005493986,-79.90803631227334,,
den Market,40.457238,-80.0069393,,
Forbes Allies Center,40.43594584850734,-79.96504766057235,Forbes Avenue; 3109,
Tech House,40.44191837789574,-79.93786523996856,,
Center Point Convenience Store,40.4923661,-80.0216997,,
Dormont Junction,40.3909223,-80.040906,,
The Northside Chronicle,40.4559872,-79.9997346,,
D's Six Packs and Dogs,40.4320659,-79.8940233,South Braddock Avenue; 1118,15221
Chatham Tower Condominium,40.43926271526344,-79.9929450631674,,
South Side Tattoo,40.42796324754492,-79.97414951237913,East Carson Street; 2208,15203
incent's Pizza,40.421094,-80.0501,,
Two Gateway Center,40.44219289724139,-80.00501671403099,Stanwix Street; 603,
Donato's Fox Chapel,40.4882975,-79.8830677,Fox Chapel Road; 46,15238
Carnegie Music Hall,40.44331206418325,-79.95098642516496,,
US Post Office,40.42895315701422,-79.98098790405326,East Carson Street; 1731,15203
Music Building,40.44666276851864,-79.9519085054786,,
Mt. Lebanon Swim Center,40.373323628397166,-80.0560262577111,,
llegheny Center Alliance Church,40.45293522669005,-80.00328850938693,East Ohio Street; 250,
Heidelberg Borough Hall,40.3926274,-80.0869574,East Railroad Street; 1631,15106
Two PNC Plaza,40.44200840264423,-80.00104061598184,iberty Avenue; 620,
Northgate Church,40.50090010927434,-80.01294893468526,,
Mellon Institute,40.44611828157184,-79.9510712062266,Fifth Avenue; 4400,15213
Pizza Prima,40.4495496,-79.950442,North Craig Street; 190,15213
Noodles & Company,40.4420314,-79.9570622,Forbes Avenue; 4805,
Carnegie,40.4062396,-80.0900531,,
Pittsburgh Science and Technology Academy,40.44295310254788,-79.95778397418313,,
National City Bank,40.4389343,-79.9969696,,
Tunnel Park,40.4283997464232,-79.96508497977509,,
Reynolds Motors,40.446945,-79.9048435,,
Brentwood Pool,40.3760991,-79.9732573,Brownsville Rd; 3624,15227
Bouquet Gardens Building C,40.440333476037466,-79.95509664343282,,
Buhl Building,40.44117725078467,-80.00203966285456,Fifth Avenue; 204,
Station Square,40.43095059390239,-80.00291909858603,,
Memorial Hall,40.3659459,-80.0159445,,
David Lawrence Hall,40.44230024208206,-79.95499302642133,,
Sichuan Gourmet,40.4357471,-79.9229262,,
Cheveron Science Center,40.4458958005449,-79.95802038304504,,
Temple Emanuel of South Hills,40.3751076035273,-80.07305655406606,Bower Hill Road; 1250,15243
Mt. Lebanon Police Department,40.3829453,-80.0436117,Washington Road; 555,15228
Posner Tower,40.45509326977968,-79.93985086718504,,
Murray Avenue News & Toys,40.4340706,-79.9230842,Murray Avenue; 2024,
Thaw Hall,40.44496714924809,-79.95801332738372,,
Pittsburgh Action Against Rape,40.42894777942511,-79.97888070353947,South 19th Street; 81,15203
East Carnegie Park,40.41505184324235,-80.07507056923274,,
Pit Stop Beer Express,40.3639832,-80.0203343,,
Murray Bartlett Professional Building,40.43602083425955,-79.9231334999268,Murray Avenue; 1900,
Third Presbyterian Church,40.45041869008487,-79.9289805694951,Fifth Avenue; 5701,15232
Mellon Green,40.44028277342257,-79.99493124972219,,
Four Gateway Center,40.441023421591005,-80.00502011019263,iberty Avenue; 444,
Renaissance Family Practice,40.47891739430409,-79.9709088560547,Sheridan Street; 111,
University Art Gallery,40.4415567,-79.9508834,,
& E Deli,40.41697561134205,-79.98641135439618,Brownsville Road; 105,15210
Sam Chioda Field,40.40092809032421,-80.07862813334587,,
First Avenue,40.4354352,-79.9965718,,
Parkedge Park,40.412557500144906,-80.06398626072807,,
The Greek Gourmet,40.4330472,-79.9232257,,
Sewickley Eye Group,40.49892141509393,-80.06398224750745,,
Hillman Library,40.442601303331166,-79.95390878547504,Forbes Ave; 3960,15260
Mt. Lebanon,40.3819611,-80.04329160000002,,
Eastminster Presbyterian Church,40.46298484245152,-79.92292206911561,North Highland Avenue; 250,15206
Starbucks,40.44021578735232,-80.0021839244438,Market Street; 7,15222
Penn Station,40.4440998,-79.9920004,,
In The Blood Tattoo,40.4290775,-79.9772926,East Carson Street; 2005,15203
Riggs Lounge,40.45479521496952,-80.01458843778516,,
Mudge House,40.446909100350496,-79.94267101172193,,
Giant Eagle Drive,40.4114697,-79.9079765,,
Northside Associates,40.4559981,-80.014998,,
Saint Pauls Cemetery,40.4153471,-79.9829858,,
New Dumpling House,40.4326236,-79.9233333,,
Bruegger's Bagels,40.4510402,-79.9357127,South Aiken Ave; 806,15232-2210
Steel Plaza,40.439893,-79.995011,,
UPMC Shadyside,40.4555224778042,-79.94209594724077,Centre Avenue; 5230,15232
Saint Michaels Cemetery,40.41908230291282,-79.98391457566963,,
The Warhol Cafe,40.4479869,-80.0019718,,
Dees Cafe,40.428608529412415,-79.98502085646692,East Carson Street; 1314; 1316,15203
Joan of Arc Building,40.44834674824983,-79.94893242317661,,
Northview Heights Elementary School,40.481233087999,-80.0042906076893,,
Dormont Pool,40.39652424058461,-80.04604872912294,,
Starbucks,40.419039,-80.045686,,
lan's Pets and Plants,40.4318447,-79.92304,,
Qdoba Mexican Grill,40.4540696,-79.9469753,,
Mt. Lebanon Fire Department,40.3829488,-80.0429799,Washington Road; 555,15228
Smithfield News,40.43800978216296,-80.00050120141867,Smithfield Street; 115,15222
Pittsburgh Fish & Chicken,40.4839825,-80.0359512,,
be. Salon,40.3819946,-80.0439042,Washington Road; 633,15228
2 Allegheny Center,40.45208453193754,-80.00397782277724,,
Giant Eagle Market District,40.48796171630853,-79.89431540494557,Freeport Road; 910,15238
Foster Plaza 3,40.42191805345517,-80.0589665671622,Holiday Drive; 601,15220
Benedum Center,40.4429954,-80.0000006,7th Street; 237,15222
Crawford Hall,40.44692012179822,-79.95397593038174,,
utheran University Center,40.44441601694573,-79.94947591298657,Forbes Ave; 4515,15213
Pittsburgh Bureau of Fire Station 37,40.45323417632293,-80.02182513110013,West North Avenue; 1124,15233
Subway,40.45009231017392,-80.0179358869109,,
Killarney,40.3737626,-80.0080558,,
South Hills Eye Associates,40.3798125,-80.0450185,Washington Road; 713,15228
City Vista,40.42696421718039,-80.0369859085369,,
Highland Park Pool,40.48195729393223,-79.91094095329603,,
Boston Market,40.45601204347658,-79.94095736353935,Baum Boulevard; 5200,15224
Pittsburgh Technology Center,40.431970499705855,-79.96327759606301,,
iberty Ave at 5th Ave,40.4420521,-80.0019932,,
Spencer House,40.45019364897657,-79.9249309470641,,
Gary Liebel Dentistry,40.3840387,-80.0440526,Washington Road; 508,15228
os Hall,40.44350586772327,-79.95609745886325,,
Gateway,40.4420723,-80.0039133,,
Pittsburgh Ballet Theatre,40.4574971,-79.9729665,,
Moore Park,40.40522219578619,-80.01296170944048,,
South Bank,40.392946,-79.998343,,
Napoli Pizzeria,40.43391,-79.9229333,,
Eureka Building,40.4384579,-79.960956,,
Carnegie Mellon University,40.4450660310672,-79.9446525583004,,
Subway,40.4749581,-80.0990396,,
University of Pittsburgh Theatre,40.4369,-79.9829,,
Doman Auto,40.40198771317987,-80.000914903699,,
Baker Hall,40.44146542317263,-79.94501811970048,Frew Street; 4825,
Saint Joseph Cemetery,40.39767184194903,-80.09296340560071,,
Panther Statue,40.4439714,-79.960964,,
CoGo's,40.39604049732949,-79.99731147801657,,
Bellefield Place Garage,40.4479343,-79.95203894999999,,
Enright Parklet,40.46209689309247,-79.92989715628298,,
rmstrong Field,40.42791847724629,-79.98609589153477,,
Pittsburgh Union Station,40.4449645,-79.9909371,,
Barrett Elementary School Library,40.4039532,-79.9080527,,
Point Park University - Academic Hall,40.43903313450495,-80.00219766434151,,15222
Dollar Bank,40.43902332209471,-80.00002577881624,Fourth Avenue; 340,15222
GreenLight Juice,40.4329815,-79.9231479,,
Marybelle Apartments,40.44792795,-79.9459372,,
llegheny,40.4480472,-80.0177542,,
llegheny General Hospital,40.4572913853636,-80.00291888073315,East North Avenue; 320,15212
Epiphany Association,40.417106,-80.023956,,
The Waterfront,40.40890080610698,-79.90495566130514,,
Denim Express,40.4405105,-80.00081445000001,Wood Street; 439,15222
Saint Benedict the Moor School,40.4530391,-79.9676135,,
llegheny County Health Department,40.46495,-79.95805,,
Bouquet Gardens Building D,40.44009291547472,-79.95471436786757,,
Foster Plaza 4,40.42194916290317,-80.05797966430458,Holiday Drive; 501,15220
Margaret Morrison Apartments,40.44205215,-79.93798754999999,,
Bouquet Gardens Building J,40.439923742117536,-79.95393293446224,,
Homestead Capri Pizza and Bar,40.40595305779095,-79.91054249719721,mity Street; 820,15120
UPMC Oakland,40.44098423192961,-79.96048199491649,,
Express Pizzeria,40.3782684,-79.99107365,Saw Mill Run Boulevard; 2760,
Pittsburgh,40.4520772,-79.9760267,,
St. Paul Cathedral Rectory,40.44690439711637,-79.9504871302473,Dithridge Street; 108,
Smithfield Cemetery,40.43966864494183,-79.9142415378945,,
Waffallonia,40.4377851,-79.9228179,Murray Avenue; 1707,15217
llegheny West Center,40.45096948333134,-80.02191792636945,,
llegheny Landing,40.44691055349804,-80.0030909758583,,
Foster Plaza 9,40.42309789206369,-80.0640607521584,Holiday Drive; 750,15220
Squirrel Hill Post Office,40.43701746337835,-79.92298657189394,Murray Avenue; 1800,15217
Girl Scouts of Southwestern Pennsylvania,40.4419151,-80.0009899,,
Starbucks,40.4370434,-79.9863114,,
utoZone,40.49445908856028,-80.0640217801239,Ohio River Boulevard; 1001,
Community College of Allegheny County,40.44994347835167,-80.01337928561459,,
Meyers Ridge,40.46897904431977,-80.0654060327266,Gray Street; 901,15136
rchies on Carson,40.427931623871,-79.97175726199944,East Carson Street; 2328; 2330,15203
UPMC Shadyside Family Health Center,40.45499026071716,-79.94115685202661,Centre Ave; 5215,15232
The Lava Lounge,40.42796568423147,-79.9743211491677,East Carson Street; 2204,15203
Brentwood Towne Square,40.36598694983096,-79.98300933466734,Towne Square Way; 600,15227
Magee Community Recreation Center,40.42441198770352,-79.936793581521,Greenfield Avenue; 745,15226
gion Park,40.48184477290251,-80.0350542778583,,
Duquesne University Student Union,40.43599440062791,-79.9908406981155,,
Greentree Road Shopping Center,40.39606175936963,-80.06697102998713,Greentree Road,15220
Castle Shannon Volunteer Fire Department,40.36604886059762,-80.01695429978332,,
toon's Pizza,40.4400865,-79.9559329,twood Street; 247,
Subway,40.4655166,-80.0555241,Mckees Rocks Plaza; 112,15136
llegheny,40.44788344082456,-80.01809069525753,,
PF Chang's,40.40713500084204,-79.91590236392673,,
Swissvale Station,40.415301801976845,-79.87908275209313,,
Hale Park,40.40329365355112,-80.05092603386358,,
l's,40.3829346,-80.0156542,,
North Park,40.455119046127045,-80.00390421822905,,
Castle Shannon Borough Hall,40.36755703052251,-80.00894308756455,,
incoln Elementary School,40.4600688,-79.9109398,,
Minadeo Elementary School,40.4237471,-79.9248343,,
The Mall,40.44203174591164,-79.94542482328609,,
Maranatha Bible Baptist Church,40.4419608,-79.8834817,,
Greenfield Elementary School Library,40.4263871,-79.9440874,,
Hampton Inn & Suites Pittsburgh-Downtown,40.44708836440643,-79.99191272059318,Smallman Street; 1247,15222
llegheny General Hospital Professional Building,40.4970291672103,-80.05790686265841,,
lex's Ice Cream,40.4529549,-80.0009325,,
ily Baptist Church,40.439212559564886,-79.97302238767055,,
Mount Lebanon Academy,40.3829063,-80.051996,,
Cambria hotel & suites Pittsburgh - Downtown,40.44015237714633,-79.98788132135611,Center Av; 1320,15219
ove Ramen,40.4405711,-79.9559115,twood Street; 229,15213
Subway,40.4529183,-80.0009575,,
UPMC Presbyterian Hospital,40.44175594086085,-79.95892899834573,othrop Street; 200,15213
First National Bank,40.44801022615184,-80.0040796930995,,
Pittsburgh's Grand Hall,40.45196676177788,-79.99790923040403,,
gends of the North Shore,40.4565365,-80.001474,,
South Hills Congregational Church,40.3769092,-79.9752248,,
Engine House - Fifty Seven,40.394773150000006,-80.022079,Brookline Boulevard; 630,15226
PNC Bank,40.3592802731402,-80.00249884948211,,
Henderson House,40.44092416628883,-79.93923591491908,,
200 Medical Arts Building,40.48988224011548,-79.89508867398509,,
One North Shore Center,40.44744410113832,-80.0029981151082,,
King Museum,40.47890186098458,-79.92507333819403,Elgin Street; 5501,15206
Refuge Temple Church,40.4540351,-79.8958484,,
berson Apartments Buildings #1 & #2,40.45342220719145,-79.94300186187704,Bayard Rd; 2,15213
llegheny County Office Building,40.4380369,-79.99607135,Forbes Avenue; 542,
Kelton Elementary School,40.3929249,-80.0390649,,
zing Yoga,40.4509111,-79.9348999,,
Faith Community Christian Church,40.501023,-80.0678073,,
Hilltop Baptist Church,40.4120539,-80.0339225,,
Tn Lc Vin,40.4332049,-79.9231754,Murray Avenue; 2114,
South Side Park,40.4202436519906,-79.97808983732251,,
Green Tree Police Department,40.4188833,-80.0469714,,
Crazy Mocha,40.44144,-79.9566713,Oakland Avenue; 207,15213
PNC Bank,40.4570869,-80.00772,,
Morningside Automotive,40.4865772,-79.9272523,Morningside Avenue; 1801,15206
Salk Hall,40.44305623193336,-79.96309955628453,,
Emmanuel Evangelical Lutheran Church,40.36708454700854,-80.02304171559587,Pine Avenue; 935,15234
Primanti's,40.4417732,-79.9570092,,
Mt. Lebanon Floral,40.3789259,-80.0449301,Washington Road; 725,15228
Westwood Golf Club,40.376680238016704,-79.8829656855488,Commonwealth Avenue; 825,15122
PNC Bank,40.42182986660677,-79.92859695060937,,
Starbucks,40.4445765,-79.9479149,S Craig St; 417,15213
West Wing,40.44301522275035,-79.94083193239373,Margaret Morrison Street; 5125,
