name,position,address,postalCode
Bluebird Kitchen,40.440611289981554; -80.001716635883,221 Forbes Ave,15222
cademic Hall,40.43862880934888; -80.00183611133583,201 Wood St; Point Park University,15222
Foley's,40.429879; -79.881304,,0
Pennant T Stop,40.41147016139192; -80.0147956609726,Platt Ave,1
Mt. Lebanon Art In The Park,40.38238089544869; -80.04510132864242,,0
Forbes Tower,40.4403779926602; -79.95730929835928,University of Pittsburgh; Meyran,15213
Redbeard's Bar & Grill,40.430679238528725; -80.00729599625637,201 Shiloh St; at W Sycamore St.,15211
gacy Plaza,40.44279705055792; -79.94135162138079,,0
EQT North Shore,40.44597009026794; -80.00788188216572,,15212
Department of Human Services,40.437044; -80.000729,,1
ynns Cafe,40.46779096126557; -80.07397055625916,,0
Wilkins School Community Center,40.4303308014607; -79.89313544133915,7604 Charleston Ave; Milton Ave,15218
Panther Hallow Junction,40.43987393333334; -79.95364853749999,340 S Bouquet St,15213
Magic House,40.45437827924104; -79.92657375010961,; Elwood St and Lehigh Avene,15232
Bates Apartment,40.436469; -79.955407,3452 Bates St,15213
My House,40.47073867737485; -79.92787552848378,5534 Baywood St; Negley St,15206
Brighton Heights,40.48036163491887; -80.04105698525461,,15212
City Of Pittsburgh Bureau Of Police Zone 5,40.47440106191967; -79.90840640037331,801-849 Washington Blvd,15206
Mudge House,40.44692377080993; -79.94250347120406,1000 Morewood Ave; at Carnegie Mellon University,15213
Magovern Conference Center,40.45648126529648; -80.00301127535624,,15212
Coffee Tree Roasters,40.43789; -79.92144,5840 Forbes Ave; btwn Murray & Shady Ave,15217
H&R Block,40.38204108592287; -80.04379705355859,637 Washington Rd Ste 101,15228
llegheny Center,40.451846938819735; -80.0062765777916,,0
Station Square East Parking Lot,40.43191142222992; -80.00235055542747,Station Square E; West Carson,15219
Dormont Recreation Center,40.3969604047825; -80.04376888275146,1801 Dormont Ave,15216
Mt. Lebanon Municipal Building,40.37979956252013; -80.04488468170166,710 Washington Rd,15228
Sharpsburg Courthouse,40.49526462833595; -79.92576594418261,,0
Faison Middle School,40.452686105804766; -79.8935935293493,,15208
UPMC St Margaret Suite 103,40.49126717279068; -79.89516579984448,100 Delafield Rd,15215
wrenceville Motors,40.48163922286152; -79.95434823819642,5241 Butler St; btwn McCandless Ave & 52nd St,15201
Theater Square,40.4431305; -80.0006259,655 Penn Avenue,15222
Family Dollar,40.454983; -79.881546,8184 Frankstown Ave,15221
Dini House,40.4475255; -79.9933976,Jl.Galian; Pondok Aren,15222
Three Rivers Restaurants,40.44176912816264; -80.00653850965925,600 Commonwealth Pl,15222
Micro Diner,40.43002324495911; -80.00741029361426,221 Shiloh St,15211
Subway,40.42883809517182; -79.98569984851694,1214 E Carson St,15203
Pittsburgh Mini Maker Faire,40.45242790753737; -80.00651682931283,,15212
Heritage Place,40.43132; -79.92509,5701 Phillips Ave,15217
Waterfront Building,40.43844837025603; -79.99275589950412,,0
Bouquet Gardens Building H,40.44061458124845; -79.95577628125186,,15213
gley Hall,40.44655780282869; -79.95415530300328,Tennyson St,15213
Foster Plaza Building 7,40.42150290329474; -80.06256118975728,661 Andersen Dr,15220
Sharp Edge Creekhouse,40.440326269118174; -80.08084257040748,288 W Steuben St; at Ingram Ave,15205
The Garden Theater,40.45551000895009; -80.00660837950048,100-104 W North Ave,15212
Scoops on the Blvd.,40.39448530044902; -80.02099160664586,719 Brookline Blvd,15226
Ft Pitt School,40.468823416666666; -79.9415561,,0
Bramer House,40.44568769122594; -79.94112211892167,,15232
Smithfield Street Bridge,40.43501326309981; -80.00200420618057,Smithfield Street; btwn I-376 & W Station Sq. Dr.,0
Foster Plaza 9 Smoking Area,40.42336202; -80.06457419,750 Holiday Dr,15220
Thackeray Hall,40.44410471273707; -79.95741231984373,Thackeray St; O'Hara St,15213
Tepper School of Business PhD Lounge,40.441427833381695; -79.94183794603032,,15213
Dormont Florist,40.39490833606992; -80.03420682306594,2900 W Liberty Ave,15216
Olde Kennywood Railroad,40.38837133832498; -79.86397327507002,4800 Kennywood Blvd,15122
DHS County Building,40.43704747717729; -80.00074942461254,1 Smithfield St,15222
Cardamone's Salon,40.43997267402144; -80.00074067976226,300 Forbes Ave,15222
school bus to wedding,40.434337; -80.006482,,0
US Post Office,40.41662712005928; -79.98688046731516,140 Brownsville Rd; at Charles St,15210
Pittsburgh Federation Of Teachers,40.43195208477299; -79.97932051154946,10 S 19th St,15203
Resolution Rentals,40.4912947; -80.04752254,176 Lincoln Ave,15202
Braddock Library,40.40415840842448; -79.86532066893861,,15104
Tim's House,40.44411057652543; -79.92809413535056,,15217
Family dentistry,40.396214; -80.035095,1503 Potomac Ave,15216
Pizza Bosa,40.439011; -79.992204,741 5th Ave,15219
ittle Giant Federal Credit Union,40.46531573333333; -80.05991295,600 Chartiers Ave,15136
Remnant City,40.377993333877335; -79.98759269714355,2855 Saw Mill Run Blvd,15227
Bellefield Hall,40.44534665121503; -79.95134360558791,315 S Bellefield Ave; Filmore Street,15213
Rite Aid,40.48652823733904; -79.9267273434316,1800-1814 Morningside Ave,15206
Schenley Park Bridle Trails,40.43340277910541; -79.94147730104372,Panther Hollow Trails; Steve Faloon Trail,15213
Denali Group Pittsburgh HQ,40.44741254900482; -79.9931272547639,1251 Waterfront Pl #200; 13th Street,15222
llegheny Smokeworks,40.49242121209043; -79.86442778154786,217 Freeport Rd,15238
llegheny Podiatry,40.379207789575446; -80.045308725775,,15228
Whited Shelter,40.39561789634033; -79.99970762550006,,15210
NuVision Engineering,40.42991171118347; -79.97024225948935,,15203
Bombay Food Market,40.45199025155352; -79.95178405774303,4605 Centre Ave,15213
Club Pittsburgh,40.4458521817667; -79.9927268692734,1139 Penn Ave,15222
The Parador Inn,40.45158916541647; -80.01808700341768,939 Western Ave,15233
coustic Music Works,40.43241111486953; -79.92321482167792,2142 Murray Ave; Phillips,15217
Double Wide Grill,40.4284561889425; -79.97132929616521,2339 E Carson St; at S 24th St,15203
Turner School,40.44936954975128; -79.86503183841705,1824 Laketon Rd,15221
Stack'd,40.44141; -79.95701,3716 Forbes Ave; Oakland Ave,15213
Foster Plaza - IKON,40.42234725987985; -80.05856353689694,601 Holiday Dr,15220
Frick Fine Arts Library,40.441768; -79.951042,,1
St. Simon and Jude Church,40.40050343879544; -80.06315938958787,1651 Greentree Rd; Greentree Drive,15220
Quest Diagnostics,40.36414698351175; -79.98360804549651,4190 Brownsville Rd,15227
Trees Field,40.44805745225121; -79.96416091918945,5th Ave,15261
Pittsburgh Central Fcu,40.455058088165664; -79.99220978594911,,0
Chabad Of The South Hills,40.396290853995005; -80.04702791971604,,1
Dana's Dunkin' Duds,40.43640576666667; -79.953841,Cable Place; Semple Street,15213
Mt. Lebanon Courts,40.37324604508592; -80.04487209965463,,15228
Schenley Apartments,40.450269; -79.954375,4101 Bigelow Blvd,15213
Thornburg Bridge,40.44029848007803; -80.08177014157029,,0
Ten Allegheny Center,40.45171486360248; -80.00680299068267,10 Childrens Way,15212
Czarnowski Pittsburgh,40.45477136610393; -80.0176038701457,1213 Galveston Ave,15233
Crunch,40.40979067140413; -79.91215163426622,340 E Waterfront Dr,15120
ZOLL,40.49750810328055; -79.86881784867133,121 Gamma Dr,15238
Wilkinsburg High School,40.44133036967333; -79.88265639365012,747 Wallace Ave; Center Ave,15221
Braddock's American Brasserie,40.44387987274563; -80.00259507092935,107 6th St; Renaissance Hotel,15222
Deutschtown Square,40.45545321805624; -80.00258535729965,504 Cedar Ave,15212
Oakland Catholic High School,40.44881232792004; -79.94966794696215,,15213
One PNC Plaza,40.44100405345522; -80.0006422905643,249 5th Ave; Fifth & Wood,15222
Warrington Beer,40.421535; -79.993195,812 E Warrington Ave,15210
Chatham University Falk Hall,40.44987958166512; -79.92737137167815,Woodland Rd.,15237
llegheny Commons,40.45285746504722; -80.00299489393112,255 E Ohio St,15212
Subway Duquesne University,40.43722322328572; -79.99306641704908,ocust st,15219
Bellevue Beer,40.49107370817091; -80.06095510155356,4489 Ohio River Blvd,15202
CVS,40.45185572530253; -79.95156740305458,4725 Centre Ave; at Craig St,15213
St. Michael's Cemetery,40.41864412006829; -79.98626238749247,S. 18th st.,0
ZIPS Dry Cleaners,40.40196357213492; -80.04168466226623,3005 Banksville Road; Potomac,15216
w hope baptist church,40.40458301931873; -79.86723482301724,445 6th St,15104
Pittsburgh CLO,40.44308908991793; -80.0004065899885,655 Penn Ave.,15222
Pittsburgh Banjo Club,40.45197677612305; -80.00079345703125,400 Cedar Ave,15212
MSU Pittsburgh Crew Lounge,40.4412555392993; -80.00547937480363,,15222
PNC Bank,40.464527; -80.058767,421 Chartiers Ave,15136
Duquesne University Old Main,40.43586440534484; -79.99315037899913,600 Forbes Ave,15219
Maranatha Bible Baptist Church,40.44190049779527; -79.88286916974165,,15221
DePaul School for Hearing and Speech,40.45679244002438; -79.92331198557434,6202 Alder St,15206
Greentree Manor,40.41159; -80.046666,1088 Greentree Rd,15220
Pittsburgh Zoning,40.434684079931046; -79.98381558955565,,0
Duquesne University - Union Ballroom,40.43767608281294; -79.98549230894811,,15219
Mt. Lebanon Sassy Sign,40.368485; -80.036295,,0
Eat 'N Park,40.466792; -79.912748336792,285 Waterfront Dr,15222
llegheny Station,40.447928903814194; -80.01810271627436,,1
McNeilly Nails,40.38336359377227; -80.01534015218512,435 McNeilly Rd,15226
Wilson Park,40.41786928234754; -80.04820824202946,,15220
Smallman Street Deli On Murray,40.43564647720354; -79.92289792164526,1912 Murray Ave,15217
Tree Pittsburgh,40.464874; -79.935268,5427 Penn Ave,15206
Scott Township; Pa,40.403538261547865; -80.0614568866512,,0
Fuel and Fuddle,40.441280868442654; -79.9566600566282,212 Oakland Ave; btwn Forbes Ave & Sennott St,15213
Pool,40.495652; -79.923976,,15215
Uptown Dental,40.3791295; -80.0449408,733 Washington Rd Suite 310,15228
llegheny County Adult Probation,40.463258707521625; -80.03157578018246,841 California Ave,0
Jons House,40.444261; -79.927357,5156 Wilkins,0
Eleven,40.44604292540684; -79.99300999936854,1150 Smallman St,15222
Cerminara Auto Sales,40.40029544198465; -80.00012809699845,Saw Mill Run Blvd,15210
8 Allegheny Center,40.45316113346696; -80.00670338775895,,15212
Rockwood Park,40.36337995; -80.03530619,735-825 Vallevista Ave,15234
Roosevelt Elementary School,40.40134227061996; -79.98659104145175,,0
Pittsburgh Flea,40.45263787419147; -79.98613131077435,2088 Railroad St; "at Railroad & 21st",15222
Five Star Dentistry,40.42860689251732; -79.97862076100449,1910 E Carson St,15203
Peoples Gate A,40.44585297831095; -80.01525163650513,Heinz Field,15212
Jerry Kitman Fine Furniture,40.47854631290922; -79.96871273770577,,15209
Squirrel Hill Clock,40.43290203408612; -79.9230004536186,,0
Duquesne University Office of Internal Audit,40.438968; -79.991325,,15219
Pitt School of Pharmacy,40.44231528451389; -79.96232114744956,3501 Terrace St,15213
Chatham University Chapel,40.44988745483879; -79.92737137559104,1-103 Woodland Rd,15232
Pizza,40.45822525024414; -79.92265319824219,,0
Tartan Express,40.44290117701782; -79.94126965628595,,0
St. Rosalia School,40.42726325295767; -79.94130790667309,411 Greenfield Ave,15207
ovely Hands Massage,40.39407997053902; -80.02054854944002,,1
Orbis Caffe,40.38093391208877; -80.0430111206634,675 Washington Rd.,15228
Moda Pittsburgh,40.450779; -79.935026,5401 Walnut St; At South Aiken Ave.,15232
Reikki Pleasure Palace,40.38846920229694; -80.00829139383993,1612 Eben St,0
Dormont Pool,40.397245233500186; -80.04553249580816,Dormont Ave.; at McFarland Rd.,15216
William Pitt Union,40.44329068002421; -79.95493199765033,3959 5th Ave; at Bigelow Blvd,15213
Murray Avenue Kosher,40.43546631244502; -79.92292979266684,1916 Murray Ave,15217
Worms,40.43901013487572; -80.02087611114794,,0
Eat'n Park,40.41723692436598; -80.03010285500503,1300 Banksville Rd; at Crane Ave.,15216
Smithfield Cemetery,40.44167401677549; -79.9124077082979,Forbes and S Dallas Ave,15217
den Market,40.45565376800123; -80.00660965358632,1318 Federal St,15212
Global Studies Center,40.441547; -79.95468,,0
SAE House,40.444962; -79.942773,1085 Morewood Ave,15213
Center Point Convenience Store,40.49307579525113; -80.02196797457758,Perrysville Ave; Vinceton Street,15214
Dormont Pool,40.39720858399664; -80.04528777481858,,15216
D's Dogs and Sudz,40.43202; -79.89341493333333,,15218
Chatham Towers,40.439117936580125; -79.9934549198535,112 Washington Pl,15219
Southside Tracks,40.436884801000986; -79.96596499370881,,15203
incent's Pizza,40.42100804873062; -80.05007669449738,333 Mansfield Ave,15220
Four Gateway Center Bus Stop,40.4406853366792; -80.0072703411391,,15222
Shadyside Nails,40.45647658068284; -79.93659256429703,5440 Centre Ave #2; S Graham St,15232
Fox Chapel Mews,40.493402029336615; -79.88075303548952,300 Fox Chapel Rd,15238
Carnegie Lecture Hall,40.44232328114691; -79.94975643406433,,0
Remote Office,40.41760328411103; -79.98406682643926,lington Ave.,0
Drake Building,40.46378406434786; -79.95400611025583,4117 Liberty Ave,15224
Mt. Lebanon Public Library,40.37726867580908; -80.04539650549144,16 Castle Shannon Blvd; at Washington Rd.,15228
llegheny Center Parking Garage,40.448182387934665; -80.00283107951005,,0
Homewood West,40.45867216845106; -79.90785429301468,,0
Panther Hollow Trail,40.43410471251231; -79.94618196197253,,15207
Heidelberg Fire Hall,40.39381848170016; -80.08994756375169,,15106
Mt Lebanon Floral,40.3732451; -80.0443041,,15228
The Tower at PNC Plaza,40.44047597736099; -80.00038827444307,300 5th Ave,15222
Northgate Church,40.49826968735254; -80.01649880374026,238 W View Ave,15229
Mellon Institute,40.44621219023768; -79.95116581475587,Carnegie Mellon University,15213
Pizza Italia,40.46296993425385; -79.95138476623175,4512 Liberty Ave,15224
Pittsburgh Sports,40.450633963321145; -79.9852465377664,,0
Noodles & Company,40.4418195; -79.9568582,3805 Forbes Ave,15213
Pittsburgh Technology Council,40.43466721452928; -79.97009203974424,2000 Technology Dr,15219
First National Bank Of Pa,40.44184465434891; -79.99988782781976,6th; Wood,15222
Century Building,40.443702; -80.000684,130 Seventh Street,1
Tunnel Park,40.4288590888304; -79.9654514892095,,1
Reynolds Motor Company,40.446778787628325; -79.89483776623689,7107 Reynolds St,15208
Northside Beer,40.45672875870866; -80.00704545646278,1304 Federal St; at Parkhurst St.,15212
Brentwood Town Homes,40.37346528067393; -79.98474315976115,,15227
Bouquet Gardens Building E,40.44100799849278; -79.95509334916109,,15213
Manor Building,40.43850300860432; -79.99326924312089,,0
Station Square Fire Drill,40.434903990003; -80.00686628488529,,15219
Greenbriar Apartments,40.447569; -79.935493,,15232
Memorial Hall T Station,40.36653462455952; -80.01620824009595,Grove Rd; btwn Library Rd and Willow Ave,15234
The Allegheny Inn,40.456098; -80.002326,1010 Cedar Ave,15212
David Lawrence Hall,40.44238502315497; -79.95542101341222,3942 Forbes Ave.; btwn S Bouquet & Schenley Dr.,15260
Sichuan Gourmet,40.43580843881428; -79.92286733206531,1900 Murray Ave; Bartlett Street,15217
Chevron Science Center,40.44605222222322; -79.95738069534545,219 Parkman Ave,15260
Concordia of the South Hills,40.37604811041512; -80.07447481155396,1300 Bower Hill Rd,15243
Mt. Lebanon Shoe Repair,40.38053511687011; -80.04430532455444,701 Washington Rd; at Alfred St.,15228
Posner 145,40.44097; -79.942186,,0
Murray Avenue,40.43806325797746; -79.9229621887207,,15217
Carnegie Dog Park,40.4026438358381; -80.07339459681891,,0
Pit Stop Express,40.36459178273695; -80.02042508347701,RT 88,15226
Murray Bartlett Professional Building,40.43586030326584; -79.92299023754124,1900 Murray Ave,15217
Shadyside Presbyterian Nursery,40.44898704185685; -79.93883799020148,5121 Westminster Pl; at Shadyside Presbyterian Church,15232
Mellon Garage,40.43929889598945; -79.99369851216518,410 Sixth Ave,0
Gateway Towers,40.44245657834336; -80.00738500540945,320 Fort Duquesne Blvd,15222
Pittsburgh Rare,40.43500692167814; -80.00620559423815,300 W Station Square Dr,15219
Renaissance Family Practice; Millvale,40.47894962799332; -79.97109440999087,111 Sheridan St,15209
Mt. Lebanon Chiropractic,40.388753; -80.050003,306 Beverly Rd,15216
University Prep,40.44957291568584; -79.96510733024728,3103 Centre Ave,15219
& E Market,40.41739978849151; -79.98671023145727,105 Brownsville Rd,15210
Chioda Field,40.40151833; -80.07878396,1 Allen St,15106
Bailey Avenue,40.426846459144535; -80.00483567115093,,15211
Parkedge Park,40.41225029899048; -80.06442189216612,238 Parkedge Road,15220
The Greek Gourmet,40.43282653158266; -79.92307326970905,2130 Murray Ave,15217
Haber Apartments,40.45073812833184; -79.92750812210846,5801 5th Ave,15232
Sewickley Eye Care,40.49943772096533; -80.06431619936811,846 California Ave,15202
Grace Library,40.439236331277804; -79.96309026280646,3333 5th Ave; Carlow University,15213
East Liberty Lutheran Church,40.46292; -79.928,,15206
Starbucks,40.4442402895918; -79.99380639661105,1001 Liberty Ave,15222
Mt Lebanon Police Association,40.38332444651571; -80.0435979520776,,1
Duquesne University Partnership in Education,40.43838988911968; -79.9879252910614,1308 5th Ave,15219
Union Station,40.444057995857655; -79.99257568240984,1100 Liberty Ave,15222
Cupka's Cafe II,40.42825763883685; -79.97232905814361,2314 E Carson St,15203
In The Blood Tattoos,40.42978542431717; -79.9773050246036,,15203
Three PNC Plaza,40.44137779989184; -80.00176189189004,225 5th Ave; Market St,15222
Riggs,40.45475911134156; -80.01466281585398,1208 Brighton Rd,15233
Primanti Bros,40.446800299210274; -80.01562951578646,100 Art Rooney Ave; at Heinz Field,15212
Giant Eagle Supermarket,40.41133241050013; -79.90879813924097,420 E Waterfront Dr; at Bridge St,15120
Northside Yoga,40.451946; -80.015347,,0
St. Michael's Cemetery,40.41864412006829; -79.98626238749247,S. 18th st.,1
New Dumpling House,40.43262801005448; -79.92307158109453,2138 Murray Ave; btwn Douglas St & Phillips Ave,15217
Bruegger's Bagel Bakery,40.45073951014795; -79.93559962691823,806 S Aiken Ave,15232
Boulevard Apartments,40.454259; -79.94919655,Baum boulevard; Millvale,15213
Gateway Plaza,40.44142536937985; -80.00542477159168,,15222
UPMC Shadyside Security Dispatch,40.454145933671306; -79.93918338550576,,15213
ZBT Center House,40.45461884668208; -79.95367562446675,,15213
St. Michael Street Steps,40.42345204521799; -79.98501715070432,,0
The Garden Cafe,40.44204932213145; -80.0019191735909,600 Penn Ave; Penn & 6th,15222
ondon Terrace Apartments,40.44810643973975; -79.95002567768097,135-137 N Craig St,15213
Dee's Cafe,40.42884271820121; -79.98467462087406,1316 E Carson St,15203
Rand Building,40.44648510385349; -79.9493473627787,4570 5th Ave,15213
Northview Heights,40.47750798370811; -80.00089804603036,,15214
Century Building,40.443702; -80.000684,130 Seventh Street,0
Dormont Park,40.39682108740906; -80.0433166012045,1801-1899 Dormont Ave; Wayne,15216
Starbucks,40.41901278; -80.04569755,971 Greentree Road; at E Manilla Ave,15220
lan's Pets and Plants,40.431833; -79.923275,2229 Murray Ave; Nicholson St,15217
Chipotle Mexican Grill,40.45919661841416; -79.92584349106443,5986 Penn Cir S; Penn Circle South,15206
Mt.Lebanon Fire Department Kitchen,40.3828650453651; -80.04387876702718,,0
Smithfield News,40.43748348379186; -80.00060677528381,115 Smithfield St; at 1st Ave.,15222
Pittsburgh Fish & Chicken,40.48440697165096; -80.03644614876247,1312 Benton Ave,15212
Pendale Salon,40.38490709210641; -80.04387876702717,460 Washington Rd,15228
First Unitarian Church,40.45079229670094; -79.94277610852491,5000-5048 Ellsworth Ave,15213
llegheny Landing,40.44705341216012; -80.00308772196603,,0
Giant Eagle Pharmacy,40.488094; -79.894276,910 Freeport Rd,15238
Foster Plaza Building 6,40.42144343112499; -80.0626218201399,600 Andersen Drive,15220
Michelle's Diner,40.42181759131099; -79.99422492795719,740 E Warrington Ave; Allen Street,15210
Subway Local,40.43282699584961; -79.99823760986328,South Hills Junction; Station Square; Downtown; North Shore,15219
One Chatham Center,40.43921138314544; -79.9919802726138,112 Washington Pl,15219
Crawford Hall,40.446806349798685; -79.95413783668796,Ruskin; Bigelow,15213
University Center Conan Room,40.44325106617001; -79.94232973225186,,15213
Pittsburgh Transportation Group,40.453025; -80.031946,1825 Liverpool St; Preble Ave.,15233
Subway,40.45338439941406; -80.00142669677734,400 E Ohio St,15212
South Hills Eye Associates,40.37978483628154; -80.04498125639118,Washington Rd,15228
Bru Lounge,40.44842; -80.00304,E General Robinson,15212
City Vista Gym,40.426956; -80.0363,325 Elizabeth Dr,15220
Highland Park Bridge,40.48788427540008; -79.91018295988547,Highland Park Bridge,0
